Local name,Distance,Geom,geometry,Lat,Long
Residencial Alphaville Flamboyant,4.6,POINT (-49.20853701585531 -16.70637285),POINT (-49.20853701585531 -16.70637285),-49.20853701585531,-16.70637285
Residencial Anglo,9.6,POINT (-49.331032 -16.6349991),POINT (-49.331032 -16.6349991),-49.331032,-16.6349991
Residencial Antônio Barbosa,9.9,POINT (-49.2673656 -16.5903303),POINT (-49.2673656 -16.5903303),-49.2673656,-16.5903303
Residencial Aruanã,6.3,POINT (-49.1959229 -16.6962234),POINT (-49.1959229 -16.6962234),-49.1959229,-16.6962234
Residencial Aruanã Complemento,6.2,POINT (-49.19611877489189 -16.6956142),POINT (-49.19611877489189 -16.6956142),-49.196118774891886,-16.6956142
Residencial Atalaia,9.9,POINT (-49.2605233 -16.5919276),POINT (-49.2605233 -16.5919276),-49.2605233,-16.5919276
Residencial Balneário,7.6,POINT (-49.2888544 -16.6170579),POINT (-49.2888544 -16.6170579),-49.2888544,-16.6170579
Residencial Belo Horizonte,8.4,POINT (-49.1849641 -16.638352),POINT (-49.1849641 -16.638352),-49.1849641,-16.638352
Residencial Carlos de Freitas,5.7,POINT (-49.2075839 -16.6535157),POINT (-49.2075839 -16.6535157),-49.2075839,-16.6535157
Residencial Cléa Borges,5.4,POINT (-49.20323243538758 -16.6965109),POINT (-49.20323243538758 -16.6965109),-49.203232435387584,-16.6965109
Residencial Costa Paranhos,8.8,POINT (-49.1739163 -16.6504751),POINT (-49.1739163 -16.6504751),-49.1739163,-16.6504751
Residencial Elizene Santana,9.9,POINT (-49.21541198327515 -16.5968275),POINT (-49.21541198327515 -16.5968275),-49.215411983275146,-16.5968275
Residencial Felicidade,8.1,POINT (-49.2254512 -16.6102686),POINT (-49.2254512 -16.6102686),-49.2254512,-16.6102686
Residencial Guanabara,8.1,POINT (-49.2287855 -16.6099494),POINT (-49.2287855 -16.6099494),-49.2287855,-16.6099494
Residencial Guarema,5.6,POINT (-49.2860223 -16.6375713),POINT (-49.2860223 -16.6375713),-49.2860223,-16.6375713
Residencial Hugo de Morais,6.2,POINT (-49.2916899 -16.6349359),POINT (-49.2916899 -16.6349359),-49.2916899,-16.6349359
Residencial Humaitá,6.4,POINT (-49.2767066 -16.6240637),POINT (-49.2767066 -16.6240637),-49.2767066,-16.6240637
Residencial Itamaracá,5.9,POINT (-49.3004966 -16.6458612),POINT (-49.3004966 -16.6458612),-49.3004966,-16.6458612
Residencial Itália,7.9,POINT (-49.2974232 -16.6211524),POINT (-49.2974232 -16.6211524),-49.2974232,-16.6211524
Residencial Jardim Belvedere,8.3,POINT (-49.3106786 -16.6264801),POINT (-49.3106786 -16.6264801),-49.3106786,-16.6264801
Residencial José Viandeli,7.4,POINT (-49.2827615 -16.6194367),POINT (-49.2827615 -16.6194367),-49.2827615,-16.6194367
Residencial João Paulo II,9.3,POINT (-49.21198134836835 -16.6023948),POINT (-49.21198134836835 -16.6023948),-49.21198134836835,-16.6023948
Residencial Licardino Ney,7.9,POINT (-49.2870851 -16.6155009),POINT (-49.2870851 -16.6155009),-49.2870851,-16.6155009
Residencial Lucy Pinheiro,8.9,POINT (-49.1733278 -16.6544338),POINT (-49.1733278 -16.6544338),-49.1733278,-16.6544338
Residencial Mar Del Plata,7.9,POINT (-49.1789908 -16.6650582),POINT (-49.1789908 -16.6650582),-49.1789908,-16.6650582
Residencial Maria Lourença,7.6,POINT (-49.3014767 -16.6258123),POINT (-49.3014767 -16.6258123),-49.3014767,-16.6258123
Residencial Mirante,8.6,POINT (-49.305541 -16.6189619),POINT (-49.305541 -16.6189619),-49.305541,-16.6189619
Residencial Montes Claros,8.7,POINT (-49.18428018163717 -16.6341854),POINT (-49.18428018163717 -16.6341854),-49.18428018163717,-16.6341854
Residencial Morada do Bosque,9.4,POINT (-49.2594013 -16.5942039),POINT (-49.2594013 -16.5942039),-49.2594013,-16.5942039
Residencial Morada do Ipê,9.9,POINT (-49.2624819 -16.5904724),POINT (-49.2624819 -16.5904724),-49.2624819,-16.5904724
Residencial Morumbi,4.1,POINT (-49.2788205 -16.6470546),POINT (-49.2788205 -16.6470546),-49.2788205,-16.6470546
Residencial Olinda,5.3,POINT (-49.200619 -16.6862036),POINT (-49.200619 -16.6862036),-49.200619,-16.6862036
Residencial Ouro Preto,8.3,POINT (-49.1913892 -16.6351636),POINT (-49.1913892 -16.6351636),-49.1913892,-16.6351636
Residencial Parque Mendanha,8.8,POINT (-49.33823612821087 -16.66946225),POINT (-49.33823612821087 -16.66946225),-49.33823612821087,-16.669462250000002
Residencial Recreio Panorama,7.7,POINT (-49.3043735 -16.62683),POINT (-49.3043735 -16.62683),-49.3043735,-16.62683
